drug1,drug2,true_label,pred_label
1497,855,1.0,10
1497,515,1.0,10
220,584,1.0,10
739,449,1.0,10
812,1142,1.0,31
125,1040,1.0,31
783,1239,1.0,31
91,1239,1.0,31
1497,177,1.0,10
1061,904,1.0,10
1497,1678,1.0,10
739,1310,1.0,10
1242,973,1.0,31
1599,1239,1.0,31
812,784,1.0,31
1414,669,1.0,10
1242,1040,1.0,31
257,1567,1.0,31
299,1239,1.0,10
739,733,1.0,10
257,1564,1.0,10
1414,1113,1.0,10
739,216,1.0,10
1414,208,1.0,10
579,1239,1.0,31
1242,1566,1.0,10
1414,449,1.0,10
1061,929,1.0,10
220,1061,1.0,10
220,91,1.0,10
1414,584,1.0,10
1242,784,1.0,31
739,560,1.0,10
812,973,1.0,31
1497,1023,1.0,10
220,830,1.0,10
1497,579,1.0,10
220,299,1.0,10
1497,1024,1.0,10
1497,722,1.0,10
1497,1239,1.0,31
312,1239,1.0,10
200,1142,1.0,31
125,34,1.0,10
812,1040,1.0,31
257,1566,1.0,10
515,1239,1.0,31
221,1239,1.0,31
1242,558,1.0,31
812,1567,1.0,31
739,698,1.0,10
1414,733,1.0,10
812,34,1.0,10
812,1564,1.0,10
1061,803,1.0,10
220,177,1.0,10
585,1239,1.0,31
220,579,1.0,10
1061,248,1.0,10
528,1239,1.0,10
739,585,1.0,10
733,1239,1.0,10
125,1142,1.0,31
1414,585,1.0,10
739,221,1.0,10
1061,1599,1.0,10
257,558,1.0,31
220,528,1.0,10
739,1023,1.0,10
220,374,1.0,10
1242,1142,1.0,31
200,580,1.0,31
1497,585,1.0,10
220,1641,1.0,10
812,533,1.0,10
1414,579,1.0,10
257,1142,1.0,31
698,1239,1.0,10
200,558,1.0,31
1497,91,1.0,31
220,739,1.0,10
56,1239,1.0,31
929,1239,1.0,10
812,410,1.0,10
125,558,1.0,31
1414,299,1.0,10
220,1599,1.0,10
1497,904,1.0,10
125,533,1.0,10
374,1239,1.0,83
220,216,1.0,10
1061,528,1.0,10
220,208,1.0,10
1414,91,1.0,10
739,312,1.0,10
1061,855,1.0,10
1414,904,1.0,10
257,410,1.0,10
669,1239,1.0,10
739,584,1.0,10
220,1414,1.0,10
739,579,1.0,10
283,1239,1.0,31
1061,177,1.0,10
220,733,1.0,10
803,1239,1.0,10
1497,327,1.0,10
1414,722,1.0,10
1414,803,1.0,10
1061,698,1.0,10
1061,91,1.0,10
1497,739,1.0,10
739,1025,1.0,10
1497,221,1.0,10
739,1641,1.0,10
1497,312,1.0,10
739,91,1.0,10
739,783,1.0,10
1061,579,1.0,10
1497,1113,1.0,10
1061,733,1.0,10
1497,698,1.0,10
1061,327,1.0,10
1414,1023,1.0,10
1061,584,1.0,10
1061,1678,1.0,10
1497,528,1.0,10
125,1567,1.0,31
1061,299,1.0,10
1497,803,1.0,10
1242,580,1.0,10
1414,312,1.0,10
125,784,1.0,31
1061,515,1.0,10
220,1310,1.0,10
739,299,1.0,10
739,1599,1.0,10
1414,221,1.0,10
1497,283,1.0,10
722,1239,1.0,31
739,177,1.0,10
1061,1024,1.0,10
1061,1025,1.0,10
1242,1567,1.0,10
220,803,1.0,10
1061,1023,1.0,10
1242,1564,1.0,10
125,1564,1.0,10
1414,374,1.0,10
1579,1176,2.0,10
1579,429,2.0,10
1164,629,2.0,10
1042,386,2.0,2
1516,629,2.0,2
1325,867,2.0,10
1324,386,2.0,10
1697,429,2.0,10
1585,1445,2.0,10
1164,522,2.0,10
1585,792,2.0,10
1043,1669,2.0,10
1324,715,2.0,2
1047,544,2.0,10
1585,223,2.0,10
1043,1176,2.0,10
1042,1510,2.0,2
1579,98,2.0,10
1042,1507,2.0,2
1516,265,2.0,2
1697,394,2.0,10
1325,454,2.0,10
1697,389,2.0,10
1164,476,2.0,10
1047,1418,2.0,10
1585,86,2.0,10
1325,351,2.0,10
1047,1419,2.0,10
1325,792,2.0,10
1164,1691,2.0,10
1579,715,2.0,23
1697,522,2.0,10
1579,70,2.0,10
1047,129,2.0,23
1043,1150,2.0,10
1324,98,2.0,2
1585,1062,2.0,10
1697,659,2.0,10
1516,1510,2.0,2
1516,1507,2.0,10
1325,659,2.0,10
1435,223,2.0,10
1435,544,2.0,10
1164,961,2.0,10
1516,389,2.0,2
1516,394,2.0,2
1164,429,2.0,10
1697,265,2.0,10
1435,415,2.0,10
1325,984,2.0,10
1325,1691,2.0,10
1164,70,2.0,10
1697,1345,2.0,10
1697,1343,2.0,10
1324,1669,2.0,10
1324,70,2.0,2
1579,1669,2.0,10
1324,447,2.0,10
1516,32,2.0,2
1042,867,2.0,2
1047,629,2.0,23
1324,1147,2.0,10
1043,386,2.0,10
1164,1343,2.0,10
1516,415,2.0,10
1325,1418,2.0,10
1516,522,2.0,2
1043,32,2.0,10
1579,1046,2.0,10
1579,1045,2.0,23
1042,351,2.0,2
1516,1418,2.0,2
1516,1419,2.0,2
1579,394,2.0,10
1042,659,2.0,2
1585,1446,2.0,10
1047,1343,2.0,10
1043,429,2.0,2
1325,265,2.0,23
1164,98,2.0,10
1435,629,2.0,10
1325,1669,2.0,10
1325,1176,2.0,10
1043,129,2.0,10
1435,351,2.0,10
1043,961,2.0,10
1585,952,2.0,10
1435,1419,2.0,10
1435,1418,2.0,10
1042,984,2.0,2
1164,659,2.0,10
1164,715,2.0,23
1579,32,2.0,10
1697,867,2.0,10
1435,792,2.0,10
1585,162,2.0,10
1579,1507,2.0,10
1579,1510,2.0,10
1585,867,2.0,10
1697,454,2.0,10
1042,70,2.0,2
1324,476,2.0,10
1579,389,2.0,10
1585,1345,2.0,10
1324,629,2.0,2
1579,162,2.0,10
1043,1507,2.0,10
1585,1343,2.0,10
1047,429,2.0,23
1047,70,2.0,23
1435,1446,2.0,10
1324,1691,2.0,2
1047,32,2.0,10
1585,1507,2.0,10
1585,1510,2.0,10
1325,389,2.0,10
1325,394,2.0,10
1516,1045,2.0,2
1516,1046,2.0,23
1043,1345,2.0,10
1585,984,2.0,10
1325,223,2.0,10
1435,659,2.0,10
1324,389,2.0,2
1043,351,2.0,10
1324,394,2.0,10
1585,386,2.0,10
1042,1669,2.0,2
1697,617,2.0,10
1516,98,2.0,2
1325,476,2.0,10
1697,86,2.0,10
1435,1176,2.0,10
1435,1345,2.0,10
1435,1343,2.0,10
1047,1669,2.0,10
1043,1445,2.0,10
1325,961,2.0,10
1325,162,2.0,10
1042,792,2.0,2
1435,386,2.0,10
1042,629,2.0,2
1324,454,2.0,2
1516,715,2.0,2
1516,659,2.0,2
1325,641,2.0,10
1042,389,2.0,2
1042,394,2.0,2
1516,447,2.0,2
1043,1147,2.0,10
1516,641,2.0,10
1164,162,2.0,10
1697,415,2.0,10
1579,1445,2.0,10
1579,1446,2.0,10
1047,792,2.0,10
1047,867,2.0,10
1164,129,2.0,10
1043,1418,2.0,10
1043,1419,2.0,10
1435,1045,2.0,10
1324,544,2.0,10
1435,1046,2.0,10
1579,86,2.0,10
1043,984,2.0,10
1585,1147,2.0,10
1325,447,2.0,10
1435,1150,2.0,10
1042,129,2.0,2
1042,162,2.0,2
1042,1691,2.0,2
1585,98,2.0,10
1047,1150,2.0,10
1579,223,2.0,10
1585,1045,2.0,10
1324,659,2.0,10
1585,1046,2.0,10
1579,415,2.0,10
1042,952,2.0,2
1047,952,2.0,10
1697,610,2.0,10
1047,1045,2.0,23
1047,1046,2.0,23
1585,715,2.0,10
1047,98,2.0,23
1579,544,2.0,10
1697,129,2.0,10
1435,763,2.0,10
1585,70,2.0,10
1164,415,2.0,10
1516,386,2.0,2
1585,447,2.0,10
1324,223,2.0,10
1585,1691,2.0,10
1435,429,2.0,10
1047,715,2.0,23
1324,351,2.0,2
1579,792,2.0,10
1043,792,2.0,10
1324,415,2.0,10
1325,610,2.0,10
1516,429,2.0,2
1516,70,2.0,2
1043,763,2.0,2
1435,265,2.0,10
1324,429,2.0,2
1043,617,2.0,10
1516,961,2.0,10
1697,715,2.0,23
1516,610,2.0,2
1042,715,2.0,2
1164,86,2.0,10
1435,641,2.0,10
1042,763,2.0,2
1324,1150,2.0,10
1435,952,2.0,10
1043,952,2.0,10
1516,1150,2.0,10
1325,763,2.0,10
1043,447,2.0,10
1435,961,2.0,10
1579,617,2.0,10
1579,454,2.0,10
1164,544,2.0,10
1697,447,2.0,10
1042,223,2.0,2
1042,98,2.0,2
1585,476,2.0,10
1579,867,2.0,10
1585,454,2.0,10
1324,641,2.0,10
1164,1445,2.0,10
1164,386,2.0,10
1579,265,2.0,23
1047,522,2.0,10
1579,1150,2.0,10
1325,544,2.0,10
1047,415,2.0,10
1047,386,2.0,10
1324,1176,2.0,10
1585,32,2.0,10
1516,351,2.0,2
1325,1147,2.0,10
1164,454,2.0,10
1516,763,2.0,2
1164,792,2.0,10
1579,1062,2.0,10
1697,70,2.0,10
1585,629,2.0,10
1047,265,2.0,23
1043,86,2.0,10
1697,641,2.0,10
1043,162,2.0,10
1435,522,2.0,10
1585,1669,2.0,10
1435,32,2.0,10
1047,984,2.0,10
1697,1445,2.0,10
1697,1446,2.0,10
1047,1691,2.0,23
1516,129,2.0,2
1043,476,2.0,10
1697,984,2.0,10
1697,763,2.0,10
1435,610,2.0,10
1579,659,2.0,10
1697,1669,2.0,10
1325,386,2.0,10
1324,1345,2.0,10
1579,1343,2.0,10
1325,1062,2.0,10
1579,1345,2.0,10
1324,1343,2.0,10
1047,617,2.0,10
1435,86,2.0,10
1697,1418,2.0,10
1325,629,2.0,10
1516,544,2.0,2
1164,867,2.0,10
1043,223,2.0,10
1585,544,2.0,10
1043,629,2.0,2
1516,984,2.0,2
1516,617,2.0,10
1164,265,2.0,23
1047,389,2.0,10
1435,617,2.0,10
1579,1419,2.0,10
1579,1418,2.0,10
1042,476,2.0,2
1164,1150,2.0,10
1516,1446,2.0,2
1516,1445,2.0,2
1325,1507,2.0,10
1325,32,2.0,10
1042,1150,2.0,2
1047,454,2.0,23
1324,763,2.0,2
1164,1345,2.0,10
1047,351,2.0,23
1164,1062,2.0,10
1324,1045,2.0,2
1325,86,2.0,10
1324,1046,2.0,10
1435,1669,2.0,10
1435,984,2.0,10
1697,544,2.0,10
1164,617,2.0,10
1047,1062,2.0,10
1579,1147,2.0,10
1579,641,2.0,10
1697,476,2.0,10
1042,961,2.0,2
1047,961,2.0,10
1585,129,2.0,10
1164,1046,2.0,10
1164,1045,2.0,23
1324,617,2.0,10
1325,129,2.0,10
1047,659,2.0,23
1047,86,2.0,10
1585,1150,2.0,10
1164,1147,2.0,10
1164,1669,2.0,10
1697,351,2.0,10
1516,792,2.0,2
1324,610,2.0,10
1585,351,2.0,10
1164,447,2.0,10
1435,1062,2.0,10
1164,1176,2.0,10
1585,415,2.0,10
1047,223,2.0,10
1697,952,2.0,10
1697,1046,2.0,10
1697,1045,2.0,10
1697,162,2.0,10
1585,1176,2.0,10
1043,867,2.0,10
1585,659,2.0,10
1435,129,2.0,10
1435,162,2.0,10
1324,1419,2.0,10
1697,1147,2.0,10
1435,867,2.0,10
1516,1343,2.0,2
1435,715,2.0,10
1516,1345,2.0,2
1324,961,2.0,10
1516,952,2.0,2
1047,1507,2.0,10
1047,1510,2.0,10
1516,1691,2.0,2
1579,952,2.0,10
1324,265,2.0,2
1042,1045,2.0,2
1047,1176,2.0,10
1042,1046,2.0,2
1697,1510,2.0,10
1043,1446,2.0,10
1697,1507,2.0,10
1047,1147,2.0,10
1042,1062,2.0,2
1697,1150,2.0,10
1516,1176,2.0,2
1164,641,2.0,10
1042,454,2.0,2
1325,1419,2.0,10
1435,476,2.0,10
1585,641,2.0,10
1042,429,2.0,2
1164,32,2.0,10
1579,129,2.0,10
1043,454,2.0,2
1042,1446,2.0,2
1516,1147,2.0,10
1579,447,2.0,10
1042,1147,2.0,10
1324,1507,2.0,10
1042,86,2.0,2
1579,610,2.0,10
1516,86,2.0,10
1164,1419,2.0,10
1164,1418,2.0,10
1042,32,2.0,2
1324,522,2.0,10
1164,394,2.0,10
1164,389,2.0,10
1324,32,2.0,10
1324,792,2.0,10
1047,394,2.0,10
1697,223,2.0,10
1325,1510,2.0,10
1325,1343,2.0,10
1697,386,2.0,10
1325,1345,2.0,10
1516,1062,2.0,10
1325,1150,2.0,10
1047,162,2.0,10
1042,1419,2.0,2
1042,1418,2.0,2
1042,522,2.0,2
1043,265,2.0,2
1579,763,2.0,10
1324,86,2.0,10
1043,1045,2.0,2
1579,351,2.0,10
1697,629,2.0,10
1043,98,2.0,10
1516,476,2.0,2
1697,32,2.0,10
1047,476,2.0,10
1043,544,2.0,10
1164,952,2.0,10
1042,1345,2.0,2
1435,447,2.0,10
1042,1343,2.0,2
1435,1147,2.0,10
1579,984,2.0,10
1047,763,2.0,23
1435,1445,2.0,10
1043,715,2.0,2
1325,715,2.0,23
1043,659,2.0,10
1043,394,2.0,10
1324,1510,2.0,10
1324,1418,2.0,10
1435,98,2.0,10
1047,641,2.0,10
1164,1446,2.0,10
1047,1345,2.0,10
1042,1176,2.0,2
1516,1669,2.0,23
1579,1691,2.0,10
1325,429,2.0,10
1043,641,2.0,10
1697,1691,2.0,10
1324,984,2.0,10
1043,415,2.0,10
1043,522,2.0,10
1585,763,2.0,10
1043,1343,2.0,10
1324,1446,2.0,10
1324,1445,2.0,10
1435,70,2.0,10
1042,265,2.0,2
1042,610,2.0,2
1047,447,2.0,10
1585,961,2.0,10
1042,447,2.0,2
1324,1062,2.0,10
1047,1445,2.0,10
1047,1446,2.0,10
1164,763,2.0,10
1579,476,2.0,10
1043,1691,2.0,10
1164,351,2.0,10
1164,223,2.0,10
1164,610,2.0,10
1042,415,2.0,2
1579,629,2.0,10
1697,1176,2.0,10
1324,129,2.0,2
1585,610,2.0,10
1324,162,2.0,10
1579,386,2.0,10
240,172,2.0,10
1579,522,2.0,10
1325,522,2.0,10
1324,867,2.0,2
1042,1445,2.0,2
1325,415,2.0,10
1164,984,2.0,10
1697,1062,2.0,10
1516,867,2.0,2
1697,1419,2.0,10
1585,429,2.0,10
1585,522,2.0,10
1043,1510,2.0,10
1164,1507,2.0,10
1697,961,2.0,10
1164,1510,2.0,10
1516,223,2.0,2
1585,617,2.0,10
1047,610,2.0,10
1585,389,2.0,10
1585,394,2.0,10
1043,70,2.0,10
1325,1445,2.0,10
1325,1446,2.0,10
1042,544,2.0,2
1043,1046,2.0,10
1516,162,2.0,10
1585,265,2.0,10
1435,1691,2.0,10
1697,98,2.0,10
1435,1507,2.0,10
1697,792,2.0,10
1435,1510,2.0,10
1043,1062,2.0,10
1043,610,2.0,10
1324,952,2.0,10
1435,454,2.0,10
1043,389,2.0,10
1579,961,2.0,10
1325,70,2.0,10
1325,952,2.0,10
1042,617,2.0,2
1585,1419,2.0,10
1516,454,2.0,2
1585,1418,2.0,10
1325,1045,2.0,23
1325,1046,2.0,10
1042,641,2.0,2
1325,98,2.0,10
1435,389,2.0,10
1435,394,2.0,10
1325,617,2.0,10
411,1080,3.0,10
97,47,3.0,10
411,637,3.0,10
886,1557,3.0,10
790,1329,3.0,10
411,634,3.0,10
1010,1338,3.0,10
1010,1340,3.0,10
1010,1342,3.0,10
411,631,3.0,10
97,1403,3.0,10
367,1419,3.0,10
403,417,3.0,10
1010,1138,3.0,10
367,1681,3.0,10
569,311,3.0,10
569,312,3.0,10
569,313,3.0,10
905,607,3.0,10
790,1330,3.0,10
905,608,3.0,10
790,1280,3.0,10
569,314,3.0,10
569,315,3.0,10
150,536,3.0,10
84,1029,3.0,10
569,448,3.0,10
790,1368,3.0,10
905,1061,3.0,10
569,447,3.0,10
569,1147,3.0,10
931,1655,3.0,10
931,744,3.0,10
150,1338,3.0,10
150,43,3.0,10
84,19,3.0,10
1010,583,3.0,10
367,447,3.0,10
790,1093,3.0,10
367,448,3.0,10
150,1562,3.0,10
150,269,3.0,10
150,47,3.0,10
150,1340,3.0,10
790,1095,3.0,10
790,1096,3.0,10
367,1340,3.0,10
790,1391,3.0,10
403,970,3.0,10
463,587,3.0,10
84,1428,3.0,10
619,684,3.0,10
150,1208,3.0,10
1030,5,3.0,10
905,665,3.0,10
905,668,3.0,10
905,667,3.0,10
569,951,3.0,10
150,803,3.0,10
97,539,3.0,10
790,1147,3.0,10
790,1272,3.0,10
242,983,3.0,10
367,908,3.0,10
790,1423,3.0,10
569,614,3.0,10
931,758,3.0,10
931,759,3.0,10
931,1598,3.0,10
150,1654,3.0,10
931,753,3.0,10
97,297,3.0,10
931,756,3.0,10
569,1558,3.0,10
950,471,3.0,10
84,756,3.0,10
1010,1029,3.0,10
569,1454,3.0,10
1030,344,3.0,10
23,619,3.0,10
97,369,3.0,10
1030,347,3.0,10
463,1330,3.0,10
463,1329,3.0,10
362,817,3.0,10
242,39,3.0,10
886,154,3.0,10
367,613,3.0,10
790,1048,3.0,10
1030,884,3.0,10
242,5,3.0,10
790,1052,3.0,10
242,348,3.0,10
411,924,3.0,10
242,353,3.0,10
242,694,3.0,10
97,1411,3.0,10
150,1180,3.0,10
97,29,3.0,10
291,1591,3.0,10
150,340,3.0,10
790,904,3.0,10
367,319,3.0,10
367,318,3.0,10
403,1506,3.0,10
931,1147,3.0,10
84,930,3.0,10
931,872,3.0,10
1010,740,3.0,10
1010,734,3.0,10
931,868,3.0,10
931,869,3.0,10
1010,737,3.0,10
84,169,3.0,10
569,306,3.0,10
905,1080,3.0,10
931,874,3.0,10
150,667,3.0,10
97,1237,3.0,10
97,1236,3.0,10
242,166,3.0,10
242,1091,3.0,10
242,165,3.0,10
905,914,3.0,10
242,159,3.0,10
1584,464,3.0,10
367,1078,3.0,10
411,1403,3.0,10
367,1080,3.0,10
150,71,3.0,10
150,73,3.0,10
790,825,3.0,10
150,67,3.0,10
367,256,3.0,10
242,676,3.0,10
367,948,3.0,10
367,949,3.0,10
150,1557,3.0,10
931,43,3.0,10
569,806,3.0,10
931,47,3.0,10
367,945,3.0,10
931,191,3.0,10
569,587,3.0,10
367,183,3.0,10
367,182,3.0,10
367,180,3.0,10
569,592,3.0,10
84,853,3.0,10
367,184,3.0,10
569,1591,3.0,10
84,849,3.0,10
931,194,3.0,10
931,193,3.0,10
1010,753,3.0,10
569,1326,3.0,10
931,952,3.0,10
84,249,3.0,10
1010,756,3.0,10
84,244,3.0,10
931,956,3.0,10
229,655,3.0,10
931,958,3.0,10
84,1226,3.0,10
1010,759,3.0,10
569,816,3.0,10
569,815,3.0,10
569,817,3.0,10
97,537,3.0,10
950,619,3.0,10
23,1030,3.0,10
242,862,3.0,10
23,1032,3.0,10
569,731,3.0,10
97,509,3.0,10
1032,1367,3.0,10
569,1078,3.0,10
150,1498,3.0,10
97,569,3.0,10
569,574,3.0,10
97,571,3.0,10
367,196,3.0,10
931,1468,3.0,10
411,835,3.0,10
905,387,3.0,10
905,386,3.0,10
84,1078,3.0,10
905,80,3.0,10
411,510,3.0,10
242,678,3.0,10
905,77,3.0,10
1584,86,3.0,10
367,1355,3.0,10
569,95,3.0,10
362,73,3.0,10
905,383,3.0,10
1584,92,3.0,10
905,84,3.0,10
84,810,3.0,10
790,866,3.0,10
411,866,3.0,10
790,1237,3.0,10
569,1226,3.0,10
84,35,3.0,10
23,396,3.0,10
1010,910,3.0,10
790,1206,3.0,10
1010,908,3.0,10
931,1702,3.0,10
1010,906,3.0,10
411,1612,3.0,10
84,808,3.0,10
1010,902,3.0,10
84,922,3.0,10
97,456,3.0,10
905,1206,3.0,10
242,797,3.0,10
150,1236,3.0,10
150,1237,3.0,10
905,1207,3.0,10
569,694,3.0,10
291,154,3.0,10
790,169,3.0,10
790,417,3.0,10
790,174,3.0,10
790,419,3.0,10
150,262,3.0,10
905,794,3.0,10
790,423,3.0,10
905,1110,3.0,10
905,797,3.0,10
84,958,3.0,10
84,1570,3.0,10
931,556,3.0,10
150,1514,3.0,10
1584,1396,3.0,10
411,412,3.0,10
886,1069,3.0,10
84,803,3.0,10
411,408,3.0,10
84,1269,3.0,10
84,431,3.0,10
84,430,3.0,10
569,884,3.0,10
367,534,3.0,10
931,1009,3.0,10
931,29,3.0,10
569,996,3.0,10
931,27,3.0,10
411,865,3.0,10
396,884,3.0,10
229,561,3.0,10
1010,532,3.0,10
411,963,3.0,10
1010,534,3.0,10
1010,536,3.0,10
97,685,3.0,10
1010,537,3.0,10
1010,1667,3.0,10
1010,539,3.0,10
1010,974,3.0,10
569,1237,3.0,10
97,684,3.0,10
790,539,3.0,10
411,1109,3.0,10
97,376,3.0,10
97,174,3.0,10
411,35,3.0,10
411,36,3.0,10
97,169,3.0,10
790,696,3.0,10
411,32,3.0,10
790,94,3.0,10
569,1201,3.0,10
790,92,3.0,10
790,91,3.0,10
790,694,3.0,10
150,1144,3.0,10
790,86,3.0,10
931,408,3.0,10
931,409,3.0,10
931,412,3.0,10
569,1539,3.0,10
931,411,3.0,10
569,1227,3.0,45
84,678,3.0,10
931,1664,3.0,10
905,917,3.0,10
905,1147,3.0,10
905,915,3.0,10
931,1111,3.0,10
1584,945,3.0,10
1584,946,3.0,10
411,318,3.0,10
1584,949,3.0,10
931,1109,3.0,10
463,29,3.0,10
97,289,3.0,10
97,1074,3.0,10
97,94,3.0,31
1010,562,3.0,10
411,797,3.0,10
150,979,3.0,10
97,86,3.0,10
97,92,3.0,10
411,138,3.0,10
411,135,3.0,10
97,91,3.0,10
1082,1069,3.0,10
1010,86,3.0,10
931,1272,3.0,10
1010,92,3.0,10
1010,91,3.0,10
905,1679,3.0,10
569,1165,3.0,10
1030,1506,3.0,10
1010,94,3.0,10
1584,654,3.0,10
790,583,3.0,10
1082,702,3.0,10
150,815,3.0,10
403,213,3.0,10
1010,1226,3.0,10
931,318,3.0,10
931,319,3.0,10
905,922,3.0,10
569,502,3.0,10
367,1235,3.0,10
569,498,3.0,10
905,1649,3.0,10
931,953,3.0,10
84,1174,3.0,10
411,294,3.0,10
411,291,3.0,10
411,292,3.0,10
411,290,3.0,10
905,1501,3.0,10
411,289,3.0,10
84,627,3.0,10
931,1239,3.0,10
1010,231,3.0,10
463,358,3.0,10
84,1110,3.0,10
367,1676,3.0,10
411,1174,3.0,10
97,1050,3.0,10
242,276,3.0,10
411,1176,3.0,10
84,1677,3.0,10
242,370,3.0,10
411,644,3.0,10
569,1411,3.0,10
367,872,3.0,10
403,445,3.0,10
97,1230,3.0,10
905,601,3.0,10
272,443,3.0,10
150,845,3.0,10
150,844,3.0,10
905,596,3.0,10
150,840,3.0,10
367,958,3.0,10
150,25,3.0,10
569,539,3.0,10
569,417,3.0,10
931,741,3.0,10
569,415,3.0,10
569,420,3.0,10
569,419,3.0,10
931,737,3.0,10
931,734,3.0,10
569,423,3.0,10
569,1208,3.0,10
931,740,3.0,10
411,734,3.0,10
150,32,3.0,10
367,827,3.0,10
396,370,3.0,10
150,35,3.0,10
150,36,3.0,10
1584,583,3.0,10
367,1333,3.0,10
1584,577,3.0,10
367,825,3.0,10
905,992,3.0,10
367,587,3.0,10
97,294,3.0,10
905,678,3.0,10
886,650,3.0,10
886,314,3.0,10
411,1289,3.0,10
905,673,3.0,10
569,537,3.0,10
905,671,3.0,10
905,672,3.0,10
790,1276,3.0,10
411,1664,3.0,10
790,1428,3.0,10
790,1062,3.0,10
242,1646,3.0,10
790,724,3.0,10
790,1069,3.0,10
569,340,3.0,10
1120,85,3.0,10
931,784,3.0,10
931,783,3.0,10
97,489,3.0,10
367,845,3.0,10
931,785,3.0,10
905,191,3.0,10
411,863,3.0,10
242,905,3.0,10
1010,1235,3.0,10
97,654,3.0,10
97,1676,3.0,10
931,1186,3.0,10
403,1318,3.0,10
1584,1693,3.0,10
950,291,3.0,10
242,362,3.0,10
790,1074,3.0,10
242,358,3.0,10
242,1287,3.0,10
242,1111,3.0,10
150,279,3.0,10
1010,1598,3.0,10
150,276,3.0,10
367,370,3.0,10
367,434,3.0,10
790,917,3.0,10
367,325,3.0,10
790,915,3.0,10
